comment,label
This product is amazing!,0
Win big prizes now!!! Click here!,1
"Best service, highly recommended!",0
Get free money instantly!,1
hello,0
1,0
Limited time offer! Buy now!,1
Fast shipping and great quality.,0
Click here for a special discount.,1
Avoid missing out! Sign up now.,1
I love this brand!,0
Not worth the money.,0
Earn $500 today with this trick!,1
Fantastic experience! Will buy again.,0
Subscribe now to win free gifts!,1
Worst customer service ever.,0
Exclusive deal just for you! Click!,1
Best purchase I've made this year.,0
Hurry! Sale ends in 24 hours!,1
Great value for the price.,0
This is a new comment,1
This is a new comment,1
This is a new comment,1
This is a new comment,1
hi,0
122,1
122,1
122,1
ahmed,0
This is a new fake comment,1
This is a new fake comment,1
This is a new fake comment,1
This is a new fake comment,1
This is a new fake comment,1
This is a new fake comment,1
This,1
fake,1
This is a new fake comment,1
This is a new fake comment,1
hi,0
the new comment is good,1
hi,0
1,0
122,0
move,1
